anno	cantanti	titolo	lyrics
1951	Nilla Pizzi	Grazie dei fiori	tanti fiori in questo giorno lieto ho ricevuto rose rose ma le più belle le hai mandate tu grazie dei fior fra tutti gli altri li ho riconosciuti mi han fatto male eppure li ho graditi son rose rosse e parlano d'amor e grazie ancor che in questo giorno tu m'hai ricordato ma se l'amore nostro s'è perduto perché vuoi tormentare il nostro cuor in mezzo a quelle rose ci sono tante spine memorie dolorose di chi ha voluto bene son pagine già chiuse con la parola fine grazie dei fior fra tutti gli altri li ho riconosciuti mi han fatto male eppure li ho graditi son rose rosse e parlano d'amor grazie dei fior e addio per sempre addio senza rancor
1952	Nilla Pizzi	Vola colomba	voglio una casa vicino al mare dove fino a dicembre caldo fa dove sciogliere i passi in libertà e una colomba che dall'albero vicino una colomba che mi sveglierà al mattino voglio acqua farina e sale per fare il pane che con te mangerò una casa vicino al mare che non ha porte né tetto né muri e una colomba sta sull'albero vicino bella colomba che sorveglia il mio destino vola vola colomba leggera nell'aria va luna luna saltello di piuma da sola va ride ride com'è mattiniera e mi sveglierà ci vuole poco per stare bene da qui io ti guardo finché un po' di sole c'è tu leggi e mangi una mela e intorno scende la sera e una colomba sta sull'albero vicino bella colomba che sorveglia il mio destino vola vola colomba leggera nell'aria va luna luna saltello di piuma da sola va ride ride non è prigioniera e canta vola vola colomba leggera nell'aria va fiore fiore di scoglio di mare che nome avrà vola vola colomba leggera e cantando va
1953	Carla Boni, Flo Sandon’s	Viale d’autunno	lungo un viale ingiallito d'autunno tristemente m' hai detto: è finita è finito l'amor più vero il più puro il più splendido amor ma una lacrima bagna il tuo viso quella lacrima dice al mio cuor: non potrò lasciarti più mai più mai più perché nel mio destino ci sei tu non ci lasceremo mai lo sai lo sai se pure lo vorrai non potrai mai più tutta una vita di dolcezze di tenerezze non può svanir i lunghi baci e le carezze le dolci ebbrezze non san mentir lasciam parlare il cuor che vive in ansietà che trema di timor e vuole questo amor o ne morirà non potrò lasciarti più mai più mai più la gioia ed il dolore sei tu in questo viale senza sole
1954	Giorgio Consolini, Gino Latilla	Tutte le mamme	"solo da una regina può nascere un nuovo principe laïoung in your eardrum ritornello non ha senso se vivo da solo se vesto bene se ho soldi e lavoro dite a quel treno che passa solo una volta alla vita che c'ho i biglietti prenotati di un volo ma stai sicura che dovunque andrò nei miei pensieri resteremo insieme mami tranquilla non deluderò nel nostro frigo non c'era mai niente da bere no non c'era mai niente da bere no nel nostro frigo non c'era mai niente da bere no niente da bere niente da bere strofa tuo figlio ancora non conosce gli sforzi che fai sei sola a portare il mondo sulle tue spalle adesso è grande manca poco e gli dirai la verità che suo padre è stato un uomo senza palle nel quartiere lo sanno come vai avanti giudicano come se fossero tutti santi con cervelli piccoli e teleschermi giganti credendosi diversi ma omologandosi agli altri tu sai bene cosa si prova a cucire un calzino bucato veder marcire chi vuoi bene la fame e il degrado gli assegni familiari con i sussidi di stato "" signor giudice pioveva merda e mi sono sporcato"" cristo forse non ha conto di noi non ci ascolta no ci guarda quando preghi e lo vuoi per ogni ragazza madre che non si è posta mai limite solo da una regina può nascere un nuovo principe e fa accussì ritornello non ha senso se vivo da solo se vesto bene se ho soldi e lavoro dite a quel treno che passa solo una volta alla vita che c'ho i biglietti prenotati di un volo ma stai sicura che dovunque andrò nei miei pensieri resteremo insieme mami tranquilla non deluderò nel nostro frigo non c'era mai niente da bere no non c'era mai niente da bere no nel nostro frigo non c'era mai niente da bere no niente da bere niente da bere strofa la moglie del presidente nuovo look in tv e nei salotti stanno discutendo se gli sta bene modestamente penso che sei molto più bella tu pensa vestita meglio e truccata come si deve opere d'arte che levati michelangelo ti sei tolta il pane da bocca per darmelo la domenica i pezzi di nino d' angelo dio benedica tutte le mamme che piangono e pagano il prezzo solo per vederci felici "" metti il casco sopra il mezzo quando vai con gli amici"" quante scuole che ho cambiato e quanti tuoi sacrifici quante felpe mi hai ristretto con le tue lavatrici alcune cose le capisci sole se diventi grande quando non hai più risposta alle domande ora che siamo in cima dimmi quello che quello che si sente stringi forte la mia mano ma questa volta per sempre e fa accussì ritornello non ha senso se vivo da solo se vesto bene se ho soldi e lavoro dite a quel treno che passa solo una volta alla vita che c'ho i biglietti prenotati di un volo ma stai sicura che dovunque andrò nei miei pensieri resteremo insieme mami tranquilla non deluderò nel nostro frigo non c'era mai niente da bere no non c'era mai niente da bere no nel nostro frigo non c'era mai niente da bere no niente da bere niente da bere laïoung in your eardrum"
1955	Claudio Villa, Tullio Pane,	Buongiorno tristezza	"buongiorno tristezza lo non sapevo lusinghe d'amore canzoni d'amore veleni d'amore quando in un bacio le chiesi un cuore mi diede un cuore perdetti un cuore d'allora quante monete d'oro quest'occhi le han donato d'allora buongiorno tristezza amica della mia malinconia la strada la sai facciamoci ancor oggi compagnia buongiorno tristezza torniamo dove un giorno t'incontrai e dissi di lei: "" mi vuole ancora bene"" e mi sbagliai piangono le foglie gialle tutte intorno a me chiedono al mormorio dei platani: "" dov'è"" vedendomi con te buongiorno tristezza amica della mia malinconia"
1956	Franca Raimondi	Aprite le finestre	la prima rosa rossa è già sbocciata e nascon timide le viole mammole ormai la prima rondine è tornata nel cielo limpido comincia a volteggiar il tempo bello viene ad annunciar aprite le finestre al nuovo sole è primavera è primavera lasciate entrare un poco d'aria pura con il profumo dei giardini e i prati in fior aprite le finestre ai nuovi sogni bambine belle innamorate è forse il più bel sogno che sognate sarà domani la felicità nel cielo fra le nuvole d'argento la luna ha già fissato appuntamento aprite le finestre al nuovo sole è primavera festa dell'amor la la la aprite le finestre al nuovo sol sul davanzale un piccolo usignolo dall'ali tenere le piume morbide ha già spiccato il timido suo volo e contro i vetri ha cominciato a picchiettar il suo più bel messaggio vuol portar è primavera è primavera aprite le finestre ai nuovi sogni alle speranze all'illusione lasciate entrare l'ultima canzone che dolcemente scenderà nel cuor nel cielo fra le nuvole d'argento la luna ha già fissato appuntamento aprite le finestre al nuovo sole è primavera festa dell'amor la la la aprite le finestra al primo amor
1957	Claudio Villa, Nunzio Gallo	Corde della mia chitarra	e' tornata l'hanno accolta le stesse cose l'hanno attesa le stesse rose dolce sogno dagli occhi verdi è tornata ma è troppo tardi troppo tardi per chi aspettò corde della mia chitarra se la mano trema sull'accordo se la musica si perde nell' indifferenza d'uno sguardo corde della mia chitarra perchè vi fermate perchè non suonate soltanto per me oh com'era dolce questa musica ohe come adesso sembra inutile se non ci ascolterà non vi fermate corde della mia chitarra suonate per me suonate suonate corde della mia chitarra
1958	Domenico Modugno, Johnny Dorelli	Nel blu dipinto di blu	volare oh oh cantare oh oh oh oh let's fly way up to the cloud away from the maddening crowd we can sing in the glow of a star that i know of whew lovers enjoy peace of mind let us leave the confusion and all disillusion behind just like birds of a feather a rainbow together we'll find volare oh oh cantare oh oh oh oh no wonder my happy heart sings your love has given me wings sometimes the world is a valley of heartaches and tears and in the hustle and bustle no sunshine appears but you and i have our love always there to remind us there is a way we can leave all the shadows behind us volare oh oh volare oh volare oh oh cantare cantare oh oh oh oh oh cantare oh oh no wonder my happy heart sings your love has given me wings no wonder my happy heart sings your love has given me wings my happy heart sings volare oh oh
1959	Domenico Modugno, Johnny Dorelli	Piove (Ciao ciao bambina)	ciao ciao bambina un bacio ancora e poi per sempre ti perderò come una fiaba l'amore passa c'era una volta poi non c'è più cos'è che trema sul tuo visino è pioggia o pianto dimmi cos'è vorrei trovare parole nuove ma piove piove sul nostro amor ciao ciao bambina non ti voltare non posso dirti rimani ancor come una fiaba l'amore passa c'era una volta poi non c'è più cos'è che trema sul tuo visino è pioggia o pianto dimmi cos'è vorrei trovare parole nuove ma piove piove sul nostro amor
1960	Tony Dallara, Renato Rascel	Romantica	"strofa come fai adesso che sei rimasta solo te a sperare in qualche cosa di migliore a pensare anche al grande amore sei un'inguaribile romantica un po' isterica però simpatica certo unica come fai adesso che non c'è neanche più lui con te lui che aveva grandi cose per la testa lui che poi un giorno come niente ha detto "" basta"" sei un'incredibile romantica un po' nevrotica ma non patetica certo unica certo unica certo unica"
1961	Betty Curtis, Luciano Tajoli	Al di là	"hook: enzo dong oh solo dio sa troverò lavoro nell’aldilà non andrò mai in galera non andrò mai in galera non andrò mai in galera non andrò mai no solo dio sa troverò lavoro nell’aldilà non andrò mai in galera non andrò mai in galera non andrò mai in galera non andrò mai verse : wayne sto correndo veloce come una gazzella ho le guardie dietro ho detto "" tony accelera"" fottute guardie fottuta cella ho una canna d’erba da due grammi accesa passala a noi oppure passala a sfera passala a i z i a rkomi oppure a tedua da roma a napoli da milano a genova mando un bacio a mia madre carmela cuoricini ai fratelli che stanno in galera mezza birra va a voi la versiamo per terra non parlare se non sai un cazzo della faccenda questi mi vogliono dentro come gucci o mandela una collana gialla sembra lisa simpson una faccia di cristo sembra mel gibson noi siamo o’ track tu malammore la nuova scissione sai come finisce verse : enzo dong la mia vita tarantella tipo tarantino tutte sere nere io qua la sera rapino dimmi dove ognuno nasce giudicato dimmi dove come quando che poi ti rovino voglio vino tavernello tipo rabbino saltate tra i palazzi con un rampino salutate i miei ragazzi con una biro sì caro siamo i sicari sigari cubani fregati a capodichino seh quale ferro se di ferro c’hai solo il disco di tiziano ferro fanculo alla tua cazzo di gang bang che dopo due tennent’s m’arriva e mi ripete gang-gang-ga-ga-gang ma c' vuò come la mettiamo si vede che io lo faccio come si deve arrivo con la polo gang e dong addio rapper rock’n’roll red hot chili peppers verse : tony effe non andrò mai in galera con la gang da quand’ero sperma passo giù a secondigliano e torno gonfio in centro fumo così tanta erba che mi scambi per un negro lucciole sul collo può vedermi anche un cieco quando passo c’è il sole il mio pendente è una torcia come a napoli nei boxer la pistola la tua ragazza mi vuole al compleanno per torta mi vede entrare e dopo diventa tutta rossa facciamo soldi morti proprio come a napoli fuori tutti quanti i ragazzi dalle carceri liberi hook: enzo dong oh solo dio sa troverò lavoro nell’aldilà non andrò mai in galera non andrò mai in galera non andrò mai in galera non andrò mai no solo dio sa troverò lavoro nell’aldilà non andrò mai in galera non andrò mai in galera non andrò mai in galera non andrò mai"
1962	Domenico Modugno, Claudio Villa	Addio… addio	what we are trying to in all these discussions and talks here is to see if we cannot radically bring about a transformation of the mind not accept things as they are but to understand it to go into it to examine it give your heart and your mind and everything that you have to find out a way of living differently but that depends on you and not somebody else because in this there is no teacher no pupil there's no leader there's no guru there's no master no savior you yourself are the teacher and the pupil you are the master you are the guru you are the leader you are everything and to understand is to transform what is
