playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Grazie dei fiori,1AX7J0yLgr8omfK9fnQCBH,Nilla Pizzi,Sanremo Story 1951,https://i.scdn.co/image/b7dc55c8d03f0d69ac26609c205b314714dfd087,1,0.225,0.153,D#,-16.924,major,0.0384,0.982,0.0291,0.314,0.262,169.941,226604,4,D# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Vola colomba,1nS7PNnOv8BEGazxQqvPKO,Nilla Pizzi,Sanremo Story 1952,https://i.scdn.co/image/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87d,0,0.334,0.0314,C,-17.879,major,0.0725,0.995,0.245,0.138,0.238,177.084,209676,3,C major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Viale d'autunno,6jAsLr1NDAdcH7wbK2eOlJ,Carla Boni,Sanremo Story 1953,https://i.scdn.co/image/f18d8f92e925c89caacf65f51925c0a69412abb2,0,0.272,0.178,A#,-13.359,minor,0.0425,0.957,0,0.348,0.207,80.798,199227,3,A# minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Viale d'autunno,6jxjWXitoTuVsOf7hhkHnx,Flo Sandon's,Flo Sandon's Collection,https://i.scdn.co/image/e39a814b141f80791d27af68a41f8e4b6c84bdf4,0,0.425,0.0763,C,-14.565,minor,0.0436,0.944,0,0.213,0.238,109.031,225628,4,C minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Tutte le mamme,1D665njPFTDuZsWxmcgQz8,Gino Latilla,Sanremo Story 1954,https://i.scdn.co/image/d0cdc2fb08c7ddb63405cb404d6c5cece27827e2,0,0.34,0.154,D#,-16.617,major,0.0356,0.991,0.663,0.104,0.294,78.906,208747,3,D# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Tutte le mamme,6vMd71SxAIUxTwPlLntDv0,Giorgio Consolini,Giorgio Consolini: tutte le mamme,https://i.scdn.co/image/c7964cd55bd3c821c698f064dab82a430a929061,1,0.42,0.171,G#,-13.537,major,0.0393,0.985,1.48e-5,0.35,0.501,77.626,196232,5,G# major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Buongiorno tristezza,6j171QYbpSSbNDD2CFjM7x,Claudio Villa,Sanremo Story 1955,https://i.scdn.co/image/5188007ac91a2df9ea196b227aa74a1abe6e853e,0,0.218,0.193,C,-15.413,minor,0.043,0.99,0.3,0.108,0.142,80.997,192610,4,C minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Buongiorno tristezza,0EiVM1J2BLTjBOJJefOKYH,Tullio Pane,Il Festival di Sanremo: Charts 1955,https://i.scdn.co/image/9e47b226c022f023e52b9c4572b957c975862a20,0,0.185,0.218,C,-15.882,minor,0.0472,0.985,0.0388,0.325,0.159,73.974,215165,3,C minor
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Aprite le finestre,7gngM4fuUDwWqBX03pV4Sx,Franca Raimondi,Sanremo Story 1956,https://i.scdn.co/image/bc3e426243f38e8a194dbbe73ae3458ecc217a28,0,0.793,0.191,D,-12.977,major,0.0648,0.794,0,0.0717,0.909,122.099,162099,4,D major
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Corde della mia chitarra,6CyO5YmI9utU16RGJptCjc,Claudio Villa,Sanremo Story 1957,https://i.scdn.co/image/16ab17c5907070497a7ddb182ae6e7ecfaba391a,0,0.342,0.0935,G,-15.452,major,0.0449,0.978,0,0.227,0.202,167.97,173383,3,G major
