danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.225,0.153,D#,-16.924,major,0.0384,0.982,0.0291,0.314,0.262,169.941,1AX7J0yLgr8omfK9fnQCBH,226604,4,D# major
0.334,0.0314,C,-17.879,major,0.0725,0.995,0.245,0.138,0.238,177.084,1nS7PNnOv8BEGazxQqvPKO,209676,3,C major
0.272,0.178,A#,-13.359,minor,0.0425,0.957,0,0.348,0.207,80.798,6jAsLr1NDAdcH7wbK2eOlJ,199227,3,A# minor
0.425,0.0763,C,-14.565,minor,0.0436,0.944,0,0.213,0.238,109.031,6jxjWXitoTuVsOf7hhkHnx,225628,4,C minor
0.34,0.154,D#,-16.617,major,0.0356,0.991,0.663,0.104,0.294,78.906,1D665njPFTDuZsWxmcgQz8,208747,3,D# major
0.42,0.171,G#,-13.537,major,0.0393,0.985,1.48e-5,0.35,0.501,77.626,6vMd71SxAIUxTwPlLntDv0,196232,5,G# major
0.218,0.193,C,-15.413,minor,0.043,0.99,0.3,0.108,0.142,80.997,6j171QYbpSSbNDD2CFjM7x,192610,4,C minor
0.185,0.218,C,-15.882,minor,0.0472,0.985,0.0388,0.325,0.159,73.974,0EiVM1J2BLTjBOJJefOKYH,215165,3,C minor
0.793,0.191,D,-12.977,major,0.0648,0.794,0,0.0717,0.909,122.099,7gngM4fuUDwWqBX03pV4Sx,162099,4,D major
0.342,0.0935,G,-15.452,major,0.0449,0.978,0,0.227,0.202,167.97,6CyO5YmI9utU16RGJptCjc,173383,3,G major
0.4,0.315,G,-7.837,major,0.0387,0.971,0.0257,0.17,0.243,114.87,6JGrxRkS3YNgcVpgSAiQEZ,202083,3,G major
0.524,0.066,A#,-17.687,major,0.0459,0.951,1.98e-6,0.281,0.417,63.572,6PReO6tBSz0eaiBH4OUuBD,215713,4,A# major
0.457,0.141,A#,-17.381,major,0.0522,0.983,5.64e-4,0.162,0.413,122.125,0VQ3MYFzlP7v9MW0nfDqEO,187773,4,A# major
0.314,0.426,D,-12.134,major,0.0408,0.817,1.83e-6,0.0976,0.395,127.767,2YQX5Caa77BzSpLo6mmb5a,185234,4,D major
0.373,0.313,C,-9.541,major,0.046,0.951,0,0.101,0.224,122.219,5HXIewQynkMB7xilKhlirA,197460,4,C major
0.333,0.306,D,-12.462,major,0.0308,0.805,0,0.205,0.477,102.333,2s62oaSjvN7VBVgZ1RiVX9,199622,4,D major
0.227,0.293,G,-12.06,major,0.0317,0.964,0.791,0.091,0.0876,86.457,0rIRQzND7Ygkc8dD4Up26P,242440,4,G major
0.237,0.232,G#,-11.582,major,0.032,0.872,0,0.2,0.152,81.093,4AZrGY8svkIylX1aPJY7LB,249360,4,G# major
0.348,0.329,C#,-8.653,major,0.0287,0.691,0,0.0791,0.393,91.64,1pGs3w5LgKmMQXEDwvTEMV,178667,4,C# major
0.23,0.204,C,-9.536,minor,0.0313,0.476,0,0.199,0.297,173.49,08oziGMPx2H8bVgTanwwj3,206240,4,C minor
0.319,0.169,D,-10.671,minor,0.03,0.986,2e-5,0.0901,0.102,70.635,1YG0S83N2nnx3OHJ1xawKS,250840,4,D minor
0.529,0.411,A,-8.637,minor,0.0329,0.474,0,0.284,0.499,116.737,4f3KHR3AMke3WmaciwlCLp,220288,4,A minor
0.734,0.464,C,-7.786,major,0.0434,0.804,0.0123,0.133,0.715,134.841,6w00fEwmuCLlmiqg7Qi1KF,180253,4,C major
0.412,0.205,F,-13.773,major,0.0297,0.923,0.0146,0.222,0.432,96.899,6wQt2YhUmfJozHZ1cMCpQz,199840,4,F major
0.587,0.267,F,-13.324,major,0.0297,0.856,8.5e-5,0.118,0.437,102.264,4qErD1cvH5WaVuqjdZZi3m,178956,3,F major
0.244,0.258,A,-13.204,major,0.036,0.881,1.08e-6,0.132,0.203,177.282,04r25eg2V9NLWEhEkjOx5X,178760,3,A major
0.393,0.202,A,-14.565,minor,0.0381,0.847,0.00796,0.123,0.32,99.531,3MOKAZhnyclL6p84EMOkoG,205520,4,A minor
0.364,0.288,F,-7.61,minor,0.0295,0.85,5.56e-6,0.361,0.143,95.439,4YN1yE15DfJpOEtIO2uUI4,198160,4,F minor
0.252,0.313,G,-14.344,major,0.0366,0.356,0,0.384,0.189,94.738,3abzVp5QKFDFyLhxZm7W5X,162533,4,G major
0.258,0.398,A#,-6.137,major,0.0287,0.712,0,0.0797,0.178,84.012,74z7wqukb3iycqBI9bzSJ2,176240,4,A# major
0.279,0.368,A,-7.239,major,0.0306,0.59,7.86e-4,0.197,0.466,104.718,5fPs5LhexhH4dYgUyw4JoY,184733,1,A major
0.565,0.633,C,-5.433,minor,0.0274,0.763,4.01e-6,0.112,0.702,98.853,6kHloHRxmsbWh8sEbDdooI,163788,3,C minor
0.272,0.399,A#,-12.635,major,0.0387,0.697,0,0.073,0.566,204.324,4errMlpDiqr9cO0V16MLjQ,156e3,3,A# major
0.481,0.891,B,-5.513,minor,0.0753,0.0957,1.09e-4,0.164,0.74,111.44,5QNEUi7oFTKcOrEMzLA9uV,178627,4,B minor
