playlist_name,playlist_img,track_name,track_uri,artist_name,album_name,album_img
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Grazie dei fiori,1AX7J0yLgr8omfK9fnQCBH,Nilla Pizzi,Sanremo Story 1951,https://i.scdn.co/image/b7dc55c8d03f0d69ac26609c205b314714dfd087
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Vola colomba,1nS7PNnOv8BEGazxQqvPKO,Nilla Pizzi,Sanremo Story 1952,https://i.scdn.co/image/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87d
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Viale d'autunno,6jAsLr1NDAdcH7wbK2eOlJ,Carla Boni,Sanremo Story 1953,https://i.scdn.co/image/f18d8f92e925c89caacf65f51925c0a69412abb2
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Viale d'autunno,6jxjWXitoTuVsOf7hhkHnx,Flo Sandon's,Flo Sandon's Collection,https://i.scdn.co/image/e39a814b141f80791d27af68a41f8e4b6c84bdf4
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Tutte le mamme,1D665njPFTDuZsWxmcgQz8,Gino Latilla,Sanremo Story 1954,https://i.scdn.co/image/d0cdc2fb08c7ddb63405cb404d6c5cece27827e2
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Tutte le mamme,6vMd71SxAIUxTwPlLntDv0,Giorgio Consolini,Giorgio Consolini: tutte le mamme,https://i.scdn.co/image/c7964cd55bd3c821c698f064dab82a430a929061
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Buongiorno tristezza,6j171QYbpSSbNDD2CFjM7x,Claudio Villa,Sanremo Story 1955,https://i.scdn.co/image/5188007ac91a2df9ea196b227aa74a1abe6e853e
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Buongiorno tristezza,0EiVM1J2BLTjBOJJefOKYH,Tullio Pane,Il Festival di Sanremo: Charts 1955,https://i.scdn.co/image/9e47b226c022f023e52b9c4572b957c975862a20
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Aprite le finestre,7gngM4fuUDwWqBX03pV4Sx,Franca Raimondi,Sanremo Story 1956,https://i.scdn.co/image/bc3e426243f38e8a194dbbe73ae3458ecc217a28
Festival di Sanremo: Tutte le canzoni vincitrici (All Winners),https://mosaic.scdn.co/640/84dfa22bd88d33fcb4dbae6c7464ec3d3ed5e87db7dc55c8d03f0d69ac26609c205b314714dfd087e39a814b141f80791d27af68a41f8e4b6c84bdf4f18d8f92e925c89caacf65f51925c0a69412abb2,Corde della mia chitarra,6CyO5YmI9utU16RGJptCjc,Claudio Villa,Sanremo Story 1957,https://i.scdn.co/image/16ab17c5907070497a7ddb182ae6e7ecfaba391a
