song_number,artist_familiarity,artist_hotttnesss,artist_id,artist_mbid,artist_playmeid,artist_7digitalid,artist_latitude,artist_longitude,artist_location,artist_name,release,release_7digitalid,song_id,song_hotttnesss,title,track_7digitalid,analysis_sample_rate,audio_md5,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,year
0,0.5817937658450281,0.4019975433642836,b'ARD7TVE1187B99BFB1',b'e77e51a5-4761-45b3-9847-2051f811e366',4479,165270,nan,nan,b'California - LA',b'Casual',b'Fear Itself',300848,b'SOMZWCG12A8C13C480',0.6021199899057548,"b""I Didn't Mean To""",3401791,22050,b'a222795e07cd65b7a530f1346f520649',0.0,218.93179,0.247,0.0,1,0.736,-11.197,0,0.636,218.932,92.198,4,0.778,b'TRAAAAW128F429D538',0
1,0.6306300375898077,0.4174996449709784,b'ARMJAGH1187FB546F3',b'1c78ab62-db33-4433-8d0b-7c8dcf1849c2',22066,1998,35.14968,-90.04892,"b'Memphis, TN'",b'The Box Tops',b'Dimensions',300822,b'SOCIWDW12A8C13D406',nan,b'Soul Deep',3400270,22050,b'bb9771eeef3d5b204a3c55e690f52a91',0.0,148.03546,0.148,0.0,6,0.169,-9.843,0,0.43,137.915,121.274,4,0.384,b'TRAAABD128F429CF47',1969
2,0.4873567909281477,0.34342837829688244,b'ARKRRTF1187B9984DA',b'7a273984-edd9-4451-9c4d-39b38f05ebcd',13951,290021,nan,nan,b'',b'Sonora Santanera',b'Las Numero 1 De La Sonora Santanera',514953,b'SOXVLOJ12AB0189215',nan,b'Amor De Cabaret',5703798,22050,b'fa329738005ca53715d9f7381a0d1fe3',0.0,177.47546,0.282,0.0,8,0.643,-9.689,1,0.565,172.304,100.07,1,0.0,b'TRAAADZ128F9348C2E',0
3,0.6303823341467806,0.4542311565706205,b'AR7G5I41187FB4CE6C',b'e188a520-9cb7-4f73-a3d7-2f70c6538e92',12697,19072,nan,nan,"b'London, England'",b'Adam Ant',b'Friend Or Foe',287650,b'SONHOTT12A8C13493C',nan,b'Something Girls',3226795,22050,b'43cd1abd45d5a2dda16a3c65b4963bd4',0.0,233.40363,0.0,0.0,0,0.751,-9.013,1,0.749,217.124,119.293,4,0.0,b'TRAAAEF128F4273421',1982
4,0.6510456608317947,0.40172368550367865,b'ARXR32B1187FB57099',b'c6903a2e-063c-4f91-a284-17b8f421be7b',8355,30973,nan,nan,b'',b'Gob',b'Muertos Vivos',611336,b'SOFSOCN12A8C143F5D',0.6045007385888197,b'Face the Ashes',6795666,22050,b'580a8fe08ef0f1c7734b84547d7a8bc7',0.0,209.60608,0.066,0.0,2,0.092,-4.501,1,0.371,198.699,129.738,4,0.562,b'TRAAAFD128F92F423A',2007
5,0.5352927355118197,0.385470550555821,b'ARKFYS91187B98E58F',b'79c403f9-5467-4f23-8426-9ca3fc60a115',63801,432935,nan,nan,b'',b'Jeff And Sheri Easter',b'Ordinary Day',41838,b'SOYMRWW12A6D4FAB14',nan,b'The Moon And I (Ordinary Day Album Version)',444964,22050,b'8ee90e90bb8714300574486f379effb5',0.0,267.7024,2.264,0.0,5,0.635,-9.323,1,0.557,254.27,147.782,3,0.454,b'TRAAAMO128F1481E7F',0
6,0.5564956019129572,0.2619411773808474,b'ARD0S291187B9B7BF5',b'56503d6d-094e-4c28-ae3d-04cc748ade5b',-1,17970,nan,nan,b'Ohio',b'Rated R',b'Da Ghetto Psychic',25824,b'SOMJBYD12A6D4F8557',nan,b'Keepin It Real (Skit)',276593,22050,b'0e574964bf7a546a39e039f6e35aa48a',0.0,114.78159,0.096,0.0,1,0.0,-17.302,1,0.0,114.782,111.787,1,0.0,b'TRAAAMQ128F1460CD3',0
7,0.8011364469966873,0.6055071356905752,b'AR10USD1187B99F3F1',b'd89de379-665d-425c-b2e9-41b95d1edb36',-1,21128,nan,nan,"b'Burlington, Ontario, Canada'",b'Tweeterfriendly Music',b'Gin & Phonic',8876,b'SOHKNRJ12A6701D1F8',nan,b'Drop of Rain',90004,22050,b'1741d2c1bd271f10e783634f286746e2',0.0,189.57016,0.319,0.0,4,0.0,-11.642,0,0.16,181.023,101.43,3,0.408,b'TRAAAPK128E0786D96',0
8,0.42666785706940524,0.33227574659906806,b'AR8ZCNI1187B9A069B',b'19d232b9-b4d7-4dc8-b259-bf65efb655b1',-1,276891,nan,nan,b'',b'Planet P Project',b'Pink World',358182,b'SOIAZJW12AB01853F1',0.26586104921065007,b'Pink World',3996579,22050,b'eda960ea61211d980653d589e8e74c1d',0.0,269.81832,5.3,0.0,4,0.717,-13.496,1,0.652,258.99,86.643,4,0.487,b'TRAAARJ128F9320760',1984
9,0.5505136978482137,0.42270564102939107,b'ARNTLGG11E2835DDB9',b'4d96f7d0-2f0e-4e92-ba70-a405f96f8cec',-1,242273,nan,nan,b'',b'Clp',b'Superinstrumental',692313,b'SOUDSGM12AC9618304',nan,b'Insatiable (Instrumental Version)',7684249,22050,b'c76afe800148e674a30629a4686d7f9f',0.0,266.39628,0.084,0.0,7,0.053,-6.697,0,0.473,261.747,114.041,4,0.878,b'TRAAAVG12903CFA543',0
